"id_veicolo" "id_percorso" "id_palina" "aria.x" "moby.x" "meb.x" "banda.x" "pedana.x" "linea.x" "statotraffico.x" "tempo_attesa.y" "distanza_fermate.y" "a_capolinea.y" "tempo_attesa_secondi.y" "statotraffico.y" "traveltime" "ora" "giorno" "giornosettimana" "direction" "weather" "prevision_w"
"402" "3030" "3602" "70788" 0 0 0 "1" 0 "719" "4" 28 34 0 1651 "4" 1871 "21" "16" "2" 0 "0" "0"
"410" "3030" "3602" "70788" 0 0 0 "0" 0 "719" "3" 28 36 0 1670 "4" 1718 "23" "16" "2" 0 "0" "0"
"412" "3031" "3637" "70162" 0 0 0 "1" 0 "98" "3" 8 4 1 479 "4" 1185 "17" "16" "2" 1 "0" "0"
"413" "3031" "3637" "70162" 0 0 0 "0" 0 "98" "4" 6 3 0 364 "3" 213 "19" "16" "2" 1 "0" "0"
"415" "3031" "3637" "70985" 0 0 0 "0" 0 "98" "4" 12 8 0 716 "3" 545 "19" "16" "2" 1 "0" "0"
"418" "3031" "3637" "70988" 0 0 0 "1" 0 "98" "4" 16 12 1 980 "4" 1565 "17" "16" "2" 0 "0" "0"
"421" "3031" "3637" "70988" 0 0 0 "0" 0 "98" "4" 17 11 0 1028 "3" 789 "19" "16" "2" 0 "0" "0"
"422" "3031" "3637" "71000" 0 0 0 "1" 0 "98" "4" 26 23 0 1537 "3" 1454 "19" "16" "2" 0 "0" "0"
"427" "3031" "3637" "71000" 0 0 0 "1" 0 "98" "4" 10 14 0 610 "4" 678 "17" "16" "2" 0 "0" "0"
"430" "3031" "3637" "71019" 0 0 0 "0" 0 "98" "4" 31 34 1 1853 "4" 2470 "17" "16" "2" 1 "0" "0"
"434" "3031" "3637" "71019" 0 0 0 "0" 0 "98" "4" 25 30 0 1479 "3" 1691 "19" "16" "2" 1 "0" "0"
"438" "3037" "56759" "70162" 0 0 0 "0" 0 "N20" "4" 10 10 0 590 "4" 545 "1" "17" "3" 1 "0" "0"
"439" "3037" "56759" "70162" 0 0 0 "0" 0 "N20" "4" 6 10 0 387 "4" 709 "3" "17" "3" 1 "0" "0"
"441" "3037" "56759" "70985" 0 0 0 "0" 0 "N20" "4" 11 8 0 689 "4" 447 "3" "17" "3" 1 "0" "0"
"444" "3037" "56759" "70985" 0 0 0 "0" 0 "N20" "4" 15 15 0 911 "4" 781 "1" "17" "3" 1 "0" "0"
"448" "3038" "13019" "70900" 0 0 0 "0" 0 "791" "4" 4 5 0 261 "4" 263 "21" "16" "2" 0 "0" "0"
"454" "3038" "13019" "70900" 0 0 0 "1" 0 "791" "4" 34 30 1 2015 "4" 1975 "22" "16" "2" 0 "0" "0"
"471" "3038" "13019" "70900" 0 0 0 "0" 0 "791" "4" 15 14 0 926 "4" 1112 "17" "16" "2" 0 "0" "0"
"479" "3038" "13019" "70900" 0 0 0 "0" 0 "791" "4" 11 10 0 653 "4" 580 "19" "16" "2" 0 "0" "0"
"486" "3038" "13019" "70900" 0 0 0 "0" 0 "791" "4" 13 10 0 779 "4" 718 "15" "16" "2" 0 "0" "0"
"493" "3038" "13020" "70985" 0 0 0 "0" 0 "791" "4" 16 12 0 962 "4" 1211 "18" "16" "2" 1 "0" "0"
"498" "3038" "13020" "70985" 0 0 0 "0" 0 "791" "4" 36 23 1 2135 "4" 1937 "21" "16" "2" 1 "0" "0"
"511" "3038" "13020" "70985" 0 0 0 "0" 0 "791" "4" 21 20 0 1237 "4" 1419 "23" "16" "2" 1 "0" "0"
"516" "3038" "13020" "70985" 0 0 0 "0" 0 "791" "4" 35 23 1 2097 "4" 2471 "20" "16" "2" 1 "0" "0"
"529" "3038" "13020" "70985" 0 0 0 "0" 0 "791" "4" 15 12 0 879 "4" 840 "16" "16" "2" 1 "0" "0"
"534" "3041" "56410" "74417" 0 0 0 "0" 0 "670" "4" 14 19 0 860 "4" 747 "18" "16" "2" 0 "0" "0"
"541" "3041" "56410" "74417" 0 0 0 "0" 0 "670" "4" 36 43 1 2132 "4" 1927 "20" "16" "2" 0 "0" "0"
"548" "3041" "56410" "74417" 0 0 0 "0" 0 "670" "4" 35 43 1 2105 "3" 2282 "19" "16" "2" 0 "0" "0"
"555" "3041" "56410" "74417" 0 0 0 "0" 0 "670" "4" 37 43 1 2201 "3" 2076 "22" "16" "2" 0 "0" "0"
"568" "3041" "56410" "74417" 0 0 0 "0" 0 "670" "4" 36 43 1 2155 "4" 2031 "15" "16" "2" 0 "0" "0"
"575" "3041" "56410" "74417" 0 0 0 "0" 0 "670" "4" 40 43 1 2383 "4" 2219 "21" "16" "2" 0 "0" "0"
"585" "3041" "56410" "74417" 0 0 0 "0" 0 "670" "4" 10 14 0 571 "4" 556 "17" "16" "2" 0 "0" "0"
"588" "3045" "13019" "70900" 0 0 0 "0" 0 "791" "4" 14 12 0 815 "4" 790 "20" "16" "2" 0 "0" "0"
"595" "3045" "13019" "70900" 0 0 0 "1" 0 "791" "4" 34 30 1 2053 "3" 2713 "21" "16" "2" 0 "0" "0"
"611" "3045" "13019" "70900" 0 0 0 "1" 0 "791" "4" 10 8 0 626 "4" 552 "18" "16" "2" 0 "0" "0"
"628" "3045" "13019" "70900" 0 0 0 "0" 0 "791" "4" 32 30 1 1902 "4" 2296 "23" "16" "2" 0 "0" "0"
"636" "3045" "13020" "70985" 0 0 0 "0" 0 "791" "4" 15 14 0 888 "4" 886 "22" "16" "2" 1 "0" "0"
"648" "3045" "13020" "70985" 0 0 0 "0" 0 "791" "4" 34 23 1 2061 "4" 2395 "20" "16" "2" 1 "0" "0"
"659" "3045" "13020" "70985" 0 0 0 "0" 0 "791" "4" 12 7 0 690 "4" 603 "19" "16" "2" 1 "0" "0"
"670" "3045" "13020" "70985" 0 0 0 "0" 0 "791" "4" 9 8 0 563 "4" 704 "17" "16" "2" 1 "0" "0"
"674" "3045" "13020" "70985" 0 0 0 "0" 0 "791" "4" 29 23 0 1715 "4" 1750 "23" "16" "2" 1 "0" "0"
"681" "3049" "13229" "71019" 0 0 0 "0" 0 "785" "4" 8 9 0 461 "4" 588 "20" "16" "2" 1 "0" "0"
"689" "3049" "13229" "71019" 0 0 0 "0" 0 "785" "4" 22 31 0 1333 "4" 2050 "16" "16" "2" 1 "0" "0"
"698" "3049" "13229" "71019" 0 0 0 "0" 0 "785" "4" 16 18 0 950 "4" 1180 "18" "16" "2" 1 "0" "0"
"699" "3056" "55244" "70162" 0 0 0 "0" 0 "916" "4" 22 11 1 1348 "2" 1495 "20" "16" "2" 1 "0" "0"
"703" "3056" "55244" "70985" 0 0 0 "0" 0 "916" "4" 6 6 0 368 "4" 415 "18" "16" "2" 1 "0" "0"
